name,market_cap,market_cap_change_24h,volume_24h
DeFi,185000000000,1.2,12000000000
Ethereum,420000000000,0.8,15000000000
Smart Contract Platform,380000000000,-0.3,9000000000
Stablecoins,145000000000,0.1,25000000000
Exchange-based Tokens,95000000000,1.5,8000000000
Layer 1,520000000000,0.5,22000000000
Layer 2,780000000000,2.1,11000000000
Metaverse,420000000000,-1.2,6000000000
Gaming,180000000000,0.9,4500000000
NFT,950000000000,-0.4,7000000000
Meme,880000000000,3.2,15000000000
AI & Big Data,620000000000,1.8,5000000000
Infrastructure,310000000000,0.6,4000000000
Decentralized Finance (DeFi),195000000000,1.1,13000000000
Liquid Staking Tokens,280000000000,0.7,6000000000
Wrapped Tokens,125000000000,0.0,3000000000
Cosmos Ecosystem,450000000000,1.0,5500000000
Polkadot Ecosystem,220000000000,-0.2,3000000000
Solana Ecosystem,680000000000,2.4,14000000000
Avalanche Ecosystem,95000000000,0.8,2000000000
