name,current_price,market_cap,total_volume,circulating_supply,total_supply
Uniswap,6.85,5200000000,180000000,760000000,1000000000
Lido DAO,1.95,1750000000,95000000,900000000,1000000000
Aave,95.2,1400000000,120000000,14700000,16000000
Maker,1850.0,1700000000,85000000,920000,977000
Curve DAO,0.42,480000000,45000000,1140000000,1683035268
Synthetix,1.15,380000000,22000000,330000000,328193104
Compound,48.5,410000000,18000000,8450000,10000000
Balancer,2.10,125000000,8000000,59500000,60000000
1inch,0.35,420000000,15000000,1200000000,1500000000
dYdX,0.92,310000000,95000000,340000000,1000000000
The Graph,0.15,1450000000,55000000,9600000000,10700000000
Chainlink,14.2,9200000000,420000000,650000000,1000000000
PancakeSwap,2.45,750000000,88000000,305000000,388000000
Convex Finance,3.10,240000000,6000000,78000000,100000000
Yearn Finance,5200.0,175000000,12000000,33600,36666
Olympus,12.5,80000000,3000000,6400000,10000000
Frax Share,2.85,220000000,8000000,78000000,100000000
Rocket Pool,22.5,460000000,15000000,20500000,21000000
GMX,22.0,210000000,25000000,9600000,13000000
Loopring,0.18,250000000,12000000,1380000000,1373873397
